2.00

# MATERIAL INFORMATION

##########################################################
## IMPORTANT                                            ##
##########################################################
## THIS DATA FILE IS FORMATTED FOR VIEWING IN NOTEPAD   ##
## AS EVERYONE HAS ACCESS TO NOTEPAD                    ##
## MAKE SURE YOUR FONT IS LUCIDA CONSOLE | REGULAR | 10 ##
## V i s u a l I V						  ##
##########################################################

# MATERIAL		name of the material
# FX GROUP		the fx group that this material maps to 	

# RAGE_FRICTION		
# RAGE_ELASTICITY

# MAT_DENSITY
# TYRE_GRIP		tyre grip - will override friction values for vehicle tyres on each material
# WET_GRIP		wet multiplier on tyre grip

# ROUGHNESS		roughness (0:not, 1:quite, 2:rough, 3:very) (does pad vibration)
# PED_DENSITY	how many peds are created on this surface (0:none, 1:few, 2:average, 3:crowds)

# FLAMMABILITY	flammability (0:not -> 1:very)	
# BURN_TIME		burn time (time the material will burn for (in seconds))	
# BURN_STR		burn strength (the strength of the flames (0 -> 1)	

# FLAGS
#  SEE_THRU		see through - no camera collision
#  SHOOT_THRU	shoot through - bullets go through
#  IS_WET		is the material naturally wet

#                                                                           									FLAGS >>>		
# MATERIAL          		FX GROUP	    HELI FX		RAGE_FRICTION				ROUGHNESS	FLAMMABILITY			SEE_THRU	MATERIAL 
#                        			    			     RAGE_ELASTICITY		  	  PED_DENSITY	  	BURN_TIME	  	  SHOOT_THRU	 
#                         		    						MAT_DENSITY		    		    		BURN_STR	    IS_WET
#                          									TYRE_GRIP			      		      		       
#										        	      WET_GRIP							
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


DEFAULT			GENERIC	    DEFAULT		1   .1	500		1  -.15	0 4 		0	5  	.5		0 0 0		DEFAULT				
NOFRICTION			VOID		    DEFAULT		0   .1	500	     .8   -.2	0 4 		0	4  	.4		0 0 0		NOFRICTION			
CAR_VOID			VOID		    DEFAULT	     .2   .1	500		1   -.2	0 4 		0	0  	0		1 1 0		CAR_VOID			

# COUNT: 2

CONCRETE			CONCRETE	    DEFAULT		1   .1	1800		1   -.1   	1 4 		.4	9	2		0 0 0		CONCRETE			
CONCRETE_FREEWAY		CONCRETE	    DEFAULT		1   .1	1800		1   -.1	1 4 		.4	6	2.5		0 0 0		CONCRETE_FREEWAY		
PAINTED_ROAD		CONCRETE	    DEFAULT		1   .1	1800	     .9   -.1	1 4 		.4	6	2.7		0 0 0		PAINTED_ROAD			
PLASTER_BOARD		CONCRETE	    DEFAULT		1   .1	1800	     .8  -.15	1 4 		.4	6	2.6		0 0 0		PLASTER_BOARD			
RUMBLE_STRIP		CONCRETE	    DEFAULT		1   .1	1800	    .92  -.12	1 4 		.4	6	2.7		0 0 0		RUMBLE_STRIP			
TARMAC			CONCRETE	    DEFAULT		1   .1	1800		1   -.1	1 4 		.4	6	2.6		0 0 0		TARMAC				
BREEZE_BLOCK		STONE		    DIRT		1   .1	2000		1 	0	3 4		0	6	2.7		0 0 0		BREEZE_BLOCK			
MOSSY_ROCK			STONE		    DIRT		1   .1	2000	     .8 	0	3 4		0	4	2.6		0 0 0		MOSSY_ROCK			
ROCK				STONE		    DIRT		1   .1	2000		1 	0	3 4		0	6	2.6		0 0 0		ROCK				
STONE				STONE		    DIRT		1   .1	2000		1 	0	3 4		0	6	2.6		0 0 0		STONE				
BRICK_COBBLE		BRICK_COBBLE    DEFAULT		1   .1	2000		1  -.13	2 4		0	6	2.6		0 0 0		BRICK_COBBLE			
