1.00

# WHEN SCRAPING, STATIC OBJECTS WILL RECEIVE CONTIUOUS TILING SCRAPE TEXTURES
# DYNAMIC OBJECTS & VEHICLES WILL RECEIVE SINGLE SCRAPE TEXTURES

#################################################################################################################################################################################################################################################################################################################################################################################
#																																														#
#  The table below is used to look up what happens to a material when it collides with another.																																			#
#  To see what happens to a material we look up its row and then cross reference with the column of the material it has collided with																														#
#  The resulting index is used in the list of infos below this table to find out what to do to the material																																	#
#																																														#
#################################################################################################################################################################################################################################################################################################################################################################################
#																					       																									#
#			VOID				BRICK_COBBLE			SAND				CERAMICS			LINOLEUM			PAPER				BUSHES				FLOWERS				CAR_METAL			PED_HEAD			TVSCREEN		#
#				CONCRETE			GRAVEL				SNOW				MARBLE				RUBBER				MATTRESS_FOAM			TREE_BARK_DARK			LEAVES_PILE			CAR_PLASTIC			PED_TORSO			VIDEOWALL	#
#					STONE				MUD_SOFT			WOOD				LAMINATE			PLASTIC				PILLOW_FEATHERS			TREE_BARK_MEDIUM		GLASS				WATER				PED_LIMB				#
#						PAVING_SLABS			DIRT_DRY			METAL				CARPET_FABRIC			CARDBOARD			GRASS				TREE_BARK_LIGHT			WINDSCREEN			GENERIC				PED_FOOT			#	
#																																														#
#################################################################################################################################################################################################################################################################################################################################################################################
																											
MTLFX_TABLE_START																									
																											
VOID			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CONCRETE		0	0101	0101	0101	0101	0101	5006	0101	0	0	0101	0101	0101	0101	0101	0101	0101	0101	0101	0101	0101	0101	0	5123	0101	0101	0101	0101	0	0	0101	0101	0101	0101	0	0	0132	0132	0132	0132	0	0
STONE			0	0101	0101	0101	0101	0101	5006	0101	0	0	0101	0101	0101	0101	0101	0101	0101	0101	0101	0101	0101	0101	0	5123	0101	0101	0101	0101	0	0	0101	0101	0101	0101	0	0	0132	0132	0132	0132	0	0
PAVING_SLABS	0	0101	0101	0101	0101	0101	5006	0101	0	0	0101	0101	0101	0101	0101	0101	0101	0101	0101	0101	0101	0101	0	5123	0101	0101	0101	0101	0	0	0101	0101	0101	0101	0	0	0132	0132	0132	0132	0	0
																																											
BRICK_COBBLE	0	0101	0101	0101	0101	0101	5006	0101	0	0	0101	0101	0101	0101	0101	0101	0101	0101	0101	0101	0101	0101	0	5123	0101	0101	0101	0101	0	0	0101	0101	0101	0101	0	0	0132	0132	0132	0132	0	0
GRAVEL		0	0501	0501	0501	0501	0501	5006	0501	0	0	0501	0501	0501	0501	0501	0501	0501	0501	0501	0501	0501	0501	0	5123	0501	0501	0501	0501	0	0	0501	0501	0501	0501	0	0	0132	0132	0132	0132	0	0
MUD_SOFT		0	0601	0601	0601	0601	0601	0	0601	0	0	0601	0601	0601	0601	0601	0601	0601	0601	0601	0601	0601	0601	0	0	0601	0601	0601	0601	0	0	0601	0601	0601	0601	0	0	0132	0132	0132	0132	0	0
DIRT_DRY		0	0701	0701	0701	0701	0701	5006	0701	0	0	0701	0701	0701	0701	0701	0701	0701	0701	0701	0701	0701	0701	0	0	0701	0701	0701	0701	0	0	0701	0701	0701	0701	0	0	0132	0132	0132	0132	0	0
																																											
