1.00


# ANY ENTRY WITH A SMIDMARK_THRESH ABOVE >1.0 WILL RAISE TYRE TEMPERATURE
# ANY ENTRY <1.0 WILL NOT AFFECT TYRE TEMPERATURE

#################################################################################################################################################################################################################################################		
#																														#
#			SKIDMARK_THRESH	SKIDMARK_TEX_DIFF	SKIDMARK_TEX_NORM	TEXTURE INFO	 SPECULAR  	  PARALLAX   	FRICTION_THRESH	FRICTION_FX			DISP_THRESH	DISPLACEMENT_FX		COLN TYPE	#			
#											ROWS COLS ID	FALLOFF	INT	STEEP	SCALE	MIN	MAX					MIN	MAX						#
#################################################################################################################################################################################################################################################

## WHEN TYRE IS OK ON A DRY SURFACE

VEHFX_INFO_START

VOID			9999.9		-			-			1   1	0	0100.0	0.01	0	0.0	9999.9	9999.9	-				9999.9	9999.9	-			0
CONCRETE		2.7		skidmark_hard		flat_normal_8x8		1   1	0	0100.0	0.01	0	0.0	2.2     15.0	wheel_friction_hard		9999.9	9999.9	-			0
STONE			2.7		skidmark_hard		flat_normal_8x8		1   1	0	0100.0	0.01	0	0.0	2.2     15.0	wheel_friction_hard		9999.9	9999.9	-			0
PAVING_SLABS		2.7		skidmark_hard		flat_normal_8x8		1   1	0	0100.0	0.01	0	0.0	2.2     15.0	wheel_friction_hard		9999.9	9999.9	-			0
	
BRICK_COBBLE		2.7		skidmark_hard		flat_normal_8x8		1   1	0	0100.0	0.01	0	0.0	2.2     15.0	wheel_friction_hard		9999.9	9999.9	-			0			
GRAVEL			2.0		skidmark_hard		flat_normal_8x8		1   1	0	0100.0	0.01	0	0.0	0.5	18.0	wheel_friction_gravel		0.05	3.0	wheel_disp_gravel	2		
MUD_SOFT		0.01		skids_01		skids_01_normal		2   1	0	0100.0	0.01	1	0.4	0.1	4.0	wheel_friction_mud		0.1	5.0	wheel_disp_mud		2	
DIRT_DRY		0.01		skids_01		skids_01_normal		2   1	1	0100.0	0.01	1	0.3	0.2	16.0	wheel_friction_dirt_dry		9999.9	9999.9	-			0			

SAND			0.01		skids_01		skids_01_normal		2   1	1	0100.0	0.01	1	0.45	0.1	6.0	wheel_friction_sand		9999.9	9999.9	-			0			
SNOW			9999.9		-			-			1   1	0	0100.0	0.01	0	0.0	9999.9	9999.9	-				9999.9	9999.9	-			0	
WOOD			2.7		skidmark_hard		flat_normal_8x8		1   1	0	0100.0	0.01	0	0.0	2.2     15.0	wheel_friction_hard		9999.9	9999.9	-			0	
METAL			2.7		skidmark_hard		flat_normal_8x8		1   1	0	0100.0	0.01	0	0.0	2.2     15.0	wheel_friction_hard		9999.9	9999.9	-			0	
											
CERAMICS		2.7		skidmark_hard		flat_normal_8x8		1   1	0	0100.0	0.01	0	0.0	2.2     15.0	wheel_friction_hard		9999.9	9999.9	-			0	
MARBLE			2.7		skidmark_hard		flat_normal_8x8		1   1	0	0100.0	0.01	0	0.0	2.2     15.0	wheel_friction_hard		9999.9	9999.9	-			0	
