//
// The timecyclemodifiers can be used to alter some of the timecycle settings depending on the
// area that the camera is in.
// There are boxes set up on the map to limit the far clip or to create an orange glow
// Interiors/portals also use these modifiers.

// EXAMPLE: notused                            -1.0       500.0        -1.0         300.0    255 255 255 255   1.0   255 255 255 255   1.0   255   0   0 255  20.0        1.00        0   0   0   0      0   0   0   0    64.0     -1    -100.0           1.0          2.3              1.0               0.1               0.2          10.0    128 128 128     0   0   0      0.0         1.0      1.0      1.0            1.0         1.0          0.0        32.0      0.0     100.0       0.0     0.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0 1.0f 1.0
//


// Name                         Name MinFarClip MaxFarClip MinFogStart MaxFogStart AmbientLight0(RGBAM) AmbientLight1(RGBAM) DirectionalLight(RGBAM) AmbientDownMult Fog(RGBA) NearFog(RGBA) Fog Mult Near Fog Axis Temperature PostFxStrength Exposure Exposure Multiplier BrightPassThreshold MidGreyValue IntensityBloom ColourCorrect ColourAdd Desaturation Contrast Gamma DesaturationFar ContrastFar GammaFar DepthFxNear DepthFxFar LumMin LumMax LumAdaptDelay GlobEnvRefl MinFarDOF MaxFarDOF MinNearDOF MaxNearDOF NearBlurDOF MidBlurDOF FarBlurDOF WaterReflection ParticleHDR AmbientOcclusionMult SkyMultiplier PedAmbOccHack NearFogAmount
NIGHTSHADE                         -1.0       500.0        -1.0          -1.0    160 180 220 255   1.0   150 200 170 255   1.0     0   0   0 255   0.0        0.50        0   0   0   0      0   0   0   0     1.0      0    -100.0           0.0          2.8              1.0              -1.4               0.2          10.0    128 128 128     0   0   0      0.0         1.0      1.0      1.0            1.0         1.0          0.0        32.0      0.0     100.0       0.0     0.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0     1.0   -1.0   -1.0       1.0       0
PIZZAREST                          -1.0       300.0        -1.0          -1.0    176 229 255 255   2.0   128 255 251 255   2.9     0   0   0 255   0.0        0.50        1   1   1 255      1   1   1   0     1.0      0    28.0           1.0          1.0              1.0               0.3               0.5           3.0    117 129 124     0   0   0      0.7         1.0      0.7      1.0            1.0         0.8          0.0        32.0      5.0     100.0       0.1    -1.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0     1.0    0.4   -1.0       1.0       255
PIZZAREST2                         -1.0        -1.0        -1.0          -1.0    250 214 167 255   7.5   255 175 138 255   6.0     0   0   0 255   0.0        0.40        0   0   0   0      0   0   0   0     1.0      0    20.0           1.0          1.0              1.0               0.5               1.0           3.0    132 128 120     0   0   0      0.7         1.0      1.0      1.0            1.0         1.0          0.0        32.0      7.0     20.0       0.0     0.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0     1.0    0.6    1.0       1.0       0
BRUCIE_STUDIO                      -1.0       500.0       300.0          -1.0    250 197 177 255   9.9   250 214 147 255  10.3     0   0   0 255   0.0        0.55        0   0   0   0      0   0   0   0     1.0      0    -100.0           1.0          1.0              0.9               0.3               0.7           3.0    128 128 128     0   0   0      0.7         1.0      1.1      1.0            1.0         1.0          0.0        32.0      6.2     36.6       0.0     0.9    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0     1.0    0.7   -1.0       1.0       0
church                             -1.0       500.0       450.0         500.0    150 170 200 255  11.5   150 200 170 255  11.5     0   0   0 255   0.0        0.25        0   0   0   0      0   0   0   0     1.0      0    28.0           1.0          2.0              1.0               0.1               1.0           4.0    128 128 128     0   0   0      0.4         1.0      1.0      1.0            1.0         1.0          0.0        32.0     13.6     100.0       0.0     0.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0     1.0   -1.0   -1.0       1.0       0
Faustins                           -1.0        -1.0       200.0         250.0    219 209 160 255   7.7   182 192 217 255   8.9     0   0   0 255   0.0        0.55        0   0   0   0      0   0   0   0     1.0      0    28.0           1.0          1.0              1.0               0.4               0.8           3.0    128 128 128     0   0   0      0.6         1.0      1.0      1.0            1.0         1.0          0.0        32.0     11.0     100.0       0.0     0.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0     1.0    0.5   -1.0       1.0       0
Faustinsbase                       -1.0       500.0       200.0         250.0    161 139 114 255   8.0   171 152 152 255  10.0     0   0   0 255   0.0        0.50        0   0   0   0      0   0   0   0     1.0      0    10.0           1.0          1.0              1.0               0.3               0.5           7.0    128 128 128     0   0   0      0.6         1.0      1.0      1.0            1.0         1.0          0.0        32.0      7.0     100.0       0.0     0.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0     1.0    0.8   -1.0       1.0       0
LittleJacobs                       -1.0        -1.0       300.0          -1.0    252 218 162 128   5.4   217 199 184 128   6.5     0   0   0 255   0.0        0.40        0   0   0   0      0   0   0   0     1.0      0    28.0           1.0          1.0              1.0               1.0               0.9           1.0    132 130 120     0   0   0      0.7         1.0      1.0      1.0            1.0         1.0          0.0        32.0     13.6     100.0       0.0    -1.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   10.0    -1.0     1.0    0.6   -1.0       1.0       0
Prison                             -1.0        20.0       300.0          -1.0    166 127  80 255  11.9   212 194 157 255   8.9     0   0   0 255   0.0        0.20        0   0   0   0      0   0   0   0     1.0      0    28.0           1.0          1.0              1.0               1.0               0.9           1.0    125 120 116     0   0   0      0.9         2.8      1.0      1.0            1.0         1.0          0.0        32.0      8.4     100.0       0.0     0.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0     1.0    0.4   -1.0       1.0       0
BernieCrane                        -1.0        -1.0       300.0          -1.0    252 237 212 255   4.5   255 205 199 255   4.5     0   0   0 255   0.0        0.50        0   0   0   0      0   0   0   0     1.0      0    28.0           1.0          1.0              1.0               0.4               0.8           0.1    135 128 128     0   0   0      0.7         1.0      1.0      1.0            1.0         1.0          0.0        32.0      7.8     100.0       0.0     0.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0     1.0    0.6   -1.0       1.0       0
